Dates,News,sentiment,probabilities
19-01-2017,"Gold logs biggest one-day loss of the month, but holds above $1,200",neutral,[0.03989045 0.93692434 0.02318517]
10-08-2017,"gold, silver up on safe-haven demand",negative,[0.85657984 0.05538111 0.08803901]
03-04-2017,Gold logs second straight gain as U.S. ISM data disappoint,negative,[0.74384844 0.20696543 0.04918613]
14-03-2017,"April gold settles at $1,202.60/oz, down 50 cents, or less than 0.1%",neutral,[0.00896635 0.97442824 0.01660543]
21-09-2017,gold futures slide rs 265 on weak global cues,neutral,[0.02815722 0.92737    0.04447268]
17-10-2017,"gold futures down rs 124 on profit booking, global cues",neutral,[0.01185942 0.9552759  0.03286468]
28-10-2017,"gold gains on local buying, global cues",negative,[0.919286   0.03443819 0.0462758 ]
16-02-2018,world gold council : india's budget - policy & progress,positive,[0.06671647 0.01692568 0.9163578 ]
09-05-2017,"June gold drops $11, or 0.9%, to settle at $1,216.10/oz",neutral,[0.01897541 0.9561524  0.0248722 ]
11-10-2017,Gold takes back some lost ground after Fed meeting minutes,neutral,[0.09762011 0.586935   0.3154449 ]
20-11-2017,is bitcoin the new gold?,positive,[0.05938365 0.03187247 0.90874386]
01-06-2017,"August gold falls $5.30, or 0.4%, to settle at $1,270.10/oz",neutral,[0.05377929 0.89532006 0.05090072]
14-02-2018,bitcoin : digital gold vs. real gold: time to use bitcoin to buy gold?,positive,[0.08082525 0.01975581 0.89941895]
10-10-2018,Gold futures rise 0.27% on global cues,negative,[0.78789264 0.1444239  0.06768338]
16-08-2017,gold treads lower ahead of fed minutes,neutral,[0.09746118 0.73939115 0.16314763]
17-01-2017,Gold holds strong gains after Empire State report,negative,[0.85504216 0.06077392 0.08418393]
09-08-2018,eu parliament agrees to ease liquidity rules for gold trading,positive,[0.22935946 0.22473627 0.5459042 ]
08-06-2017,"August gold down $13.70, or 1.1%, to settle at $1,279.50/oz",neutral,[0.01577331 0.9625393  0.02168739]
14-06-2018,"Gold hits 2-week high on dollar's weakness, trade worries",negative,[0.4677854  0.37618628 0.15602839]
10-11-2017,turkey's gold-buying spree has market wondering how much and why,positive,[0.05085703 0.2156265  0.73351645]
30-01-2018,gold : your weight in gold,positive,[0.05997983 0.02454684 0.9154733 ]
15-09-2017,"December gold rises less than 0.1% at $1,329.50/oz.",neutral,[0.21518588 0.7120966  0.07271753]
17-05-2018,japan : 'semi-organized' crime groups tied to rise in gold smuggling,neutral,[0.03764318 0.68611836 0.27623847]
31-01-2018,gold futures retreat somewhat after private-sector employment report,neutral,[0.01065126 0.960166   0.02918284]
17-10-2017,"goldman sachs feels even at 12% return, gold is still better than bitcoin",negative,[0.9451136  0.01908509 0.03580126]
26-07-2017,"Weak global cues pull gold futures down to Rs 28,384",neutral,[0.00889861 0.9600149  0.03108658]
25-01-2018,lbma ponders blockchain use for gold supply tracking,positive,[0.07231559 0.0146553  0.9130291 ]
01-12-2017,gold inches up on weaker dollar; improved risk appetite weighs,negative,[0.94976443 0.02697434 0.02326125]
05-01-2017,"February gold up $9.50, or 0.8%, at $1,174.80/oz. after ADP report",negative,[0.8030601  0.1388381  0.05810171]
28-02-2017,Gold ticks lower; Trump's speech in focus,neutral,[0.06116677 0.4750008  0.4638325 ]
24-07-2018,cftc : speculative gold long smallest since january 2016,neutral,[0.03510734 0.61172336 0.35316923]
27-06-2018,russia and china are stockpiling gold,positive,[0.12234541 0.01232556 0.865329  ]
05-07-2018,strong wage growth friday could send gold lower,neutral,[0.41112614 0.527314   0.06155982]
01-12-2017,Commerce Secretary for reviewing import duty on gold,positive,[0.04323821 0.14108312 0.81567866]
28-06-2018,Gold hovers near 6-month low,negative,[0.35842654 0.28350136 0.3580722 ]
04-05-2018,vaultoro's bitcoin-to-gold exchange implements lightning network payments,positive,[0.0928663  0.00965198 0.8974817 ]
19-11-2017,Include 20 carat gold jewellery in hallmark standards: CAIT,positive,[0.08470304 0.01082074 0.9044762 ]
05-01-2017,Gold futures log highest settlement in about 5 weeks,negative,[0.4584983  0.3796079  0.16189377]
06-11-2018,"Gold prices steady, eyes on US midterm elections",positive,[0.22369248 0.03285376 0.74345374]
13-06-2018,ronald stoeferle : gold is dirt cheap right now,positive,[0.08030197 0.05825036 0.86144763]
17-11-2017,Gold marks 1-month high as dollar retreats,neutral,[0.13560253 0.8225647  0.04183274]
31-05-2017,"gold ends higher, then pulls back as fed beige book ups odds of june rate hike",negative,[0.5760678 0.2884735 0.1354587]
18-09-2017,"Gold drops to Rs 30,700; silver down at Rs 41,200 per kg",neutral,[0.01022207 0.9657262  0.02405172]
18-07-2017,Gold settles higher for a third session,negative,[0.7594506  0.12022078 0.12032864]
05-10-2018,gold futures end the week roughly 0.8% higher,neutral,[0.06531393 0.9008106  0.03387545]
21-11-2017,"Dec. gold climbs $6.40, or 0.5%, to settle at $1,281.70/oz",negative,[0.8394409  0.11476406 0.04579504]
17-11-2017,"Gold falls to Rs 30,450 on weak demand from local jewellers",neutral,[0.00871458 0.9704093  0.02087618]
18-11-2018,gold price could drive higher after dovish remarks from fed officials,negative,[0.63245916 0.29166088 0.07587993]
12-01-2017,"Gold trades $4.50, or 0.4%, higher at $1,201.10/oz., after jobless claims, trade data",negative,[0.66214734 0.30039605 0.03745664]
16-05-2017,Gold rises for 4th as dollar eases on weak US data,neutral,[0.2983792  0.6003049  0.10131587]
27-03-2017,"April gold gains $7.20, or 0.6%, to settle at $1,255.70/oz",negative,[0.7994429  0.15863454 0.04192258]
25-01-2018,"Gold hits over 14-month high of Rs 31,450",negative,[0.821275   0.03569765 0.14302734]
06-02-2017,Gold scores highest settlement in almost three months,negative,[0.6035361  0.12443971 0.27202412]
23-05-2017,Gold prices trade near session lows on Comex,neutral,[0.02666095 0.9184992  0.05483984]
12-11-2018,Gold dips to one-month low as dollar strengthens,neutral,[0.01601037 0.95187664 0.03211291]
26-09-2017,"December. gold down $11.70, or 0.9%, at $1,299.80 an ounce",neutral,[0.01172511 0.9676876  0.02058722]
16-03-2018,gold futures down 0.9% for the week,neutral,[0.00984782 0.972042   0.01811008]
18-07-2017,Gold extends streak of price gains to a third session,negative,[0.88302076 0.02636545 0.09061378]
15-05-2017,Gold futures log highest finish since May 3,negative,[0.56143314 0.329158   0.10940884]
05-01-2018,"february gold slips 0.3% at $1,318.30/oz.",neutral,[0.01433014 0.96507597 0.02059396]
08-09-2017,"Dec. gold climbs 90 cents, or less than 0.1%, to settle at $1,351.20/oz",negative,[0.84957254 0.10685299 0.04357444]
09-02-2017,"April gold up 0.1% at $1,241/oz.",negative,[0.81425726 0.14680855 0.03893416]
24-04-2018,gold futures settle higher for first time in four sessions,negative,[0.8497661  0.06610367 0.08413017]
16-03-2017,"April gold up $30.50, or 2.5%, at $1,231.20/oz.",negative,[0.8521995  0.10892101 0.03887941]
23-06-2017,"August gold gains $7, or 0.6%, to settle at $1,256.40/oz",negative,[0.8647955  0.10116202 0.0340425 ]
24-03-2017,Gold holds losses after durable-goods orders,neutral,[0.1216313  0.8503459  0.02802284]
17-09-2018,mining gold requires 20x the energy of bitcoin mining,positive,[0.06055707 0.01478776 0.9246552 ]
20-03-2018,"commerzbank : investors buy gold, silver etf as price retreats",negative,[0.71188045 0.06668885 0.22143063]
01-11-2017,"Dec. gold gains $6.80, or 0.5%, to settle at $1,277.30/oz",negative,[0.8343746  0.12456608 0.04105932]
20-04-2018,"gold trying to get above $1,355 as uncertainties on russian sanctions linger on",negative,[0.52009934 0.369935   0.10996565]
19-04-2017,Gold futures log lowest finish since April 12,neutral,[0.00922318 0.95066035 0.04011648]
12-09-2017,Gold Prices Remain Slightly Lower in Risk-On Trade,neutral,[0.10691188 0.8667743  0.02631382]
16-10-2017,Gold prices give up earlier gains to settle modestly lower,negative,[0.777125   0.17118151 0.05169351]
04-12-2018,gold extends climb to multiweek highs as dollar index sinks,negative,[0.8178455  0.06737517 0.11477934]
28-07-2017,"August gold rises 0.2% at $1,263/oz.",negative,[0.81390613 0.150752   0.03534193]
13-11-2017,gold slammed after someone pukes $4 billion notional in gold futures,neutral,[0.05410908 0.8469781  0.09891281]
07-03-2017,Gold futures settle at a nearly 5-week low,neutral,[0.02596027 0.9162632  0.05777658]
05-06-2017,Gold prices pare some of their earlier gains,negative,[0.6392051  0.21659815 0.14419676]
22-11-2017,Gold remains in a narrow range ahead of Fed minutes,neutral,[0.09272939 0.56812197 0.33914873]
28-09-2017,"gold rate: check out latest gold price, trends, and market outlook",positive,[0.03239212 0.03066799 0.93693984]
10-03-2017,"gold, silver trade lower ahead of us jobs data",neutral,[0.02648392 0.9304142  0.04310182]
18-01-2017,"Feb. gold down 80 cents, or less than 0.1%, to settle at $1,212.10/oz",neutral,[0.01799858 0.96265364 0.01934785]
13-02-2017,gold to trade in 28822-29380 range: achiievers equities,positive,[0.06630595 0.0220532  0.9116408 ]
08-11-2018,crypto mining costly than mining for gold and silver,positive,[0.04805228 0.06188109 0.8900666 ]
24-05-2017,"Gold suffers back-to-back losses, sees knee-jerk reaction to Fed minutes",neutral,[0.10753442 0.8415146  0.05095097]
04-03-2018,karatbank : company to link gold trade payment methods with cryptocurrency techniques,positive,[0.14431989 0.00840359 0.84727657]
19-10-2018,Gold futures decline Rs 116 on profit-booking,neutral,[0.0180608  0.95083344 0.03110584]
07-12-2018,"Gold futures up at Rs 31,104 per 10 gm",negative,[0.77992755 0.06262407 0.1574484 ]
19-04-2017,Gold falls in electronic trade after Fed Beige Book release,neutral,[0.04757123 0.7614214  0.1910074 ]
31-03-2017,gold futures drop rs 72 on weak global cues; silver weakens in futures trade,neutral,[0.01273776 0.97121775 0.01604447]
12-01-2018,gold holds gain after economic reports,negative,[0.62490904 0.25684172 0.11824922]
10-11-2017,"bnp paribas sees mid-2018 rally in gold, then price retreat",negative,[0.6191719  0.07056291 0.31026515]
28-08-2018,gold slightly lower as u.s. redrafts nafta,neutral,[0.2855709  0.671158   0.04327113]
07-04-2017,"gold ends higher, but retreats from 5-month high as dollar strengthens",neutral,[0.02384174 0.9649837  0.01117463]
14-11-2017,will december fed rate hike drive gold higher or lower?,neutral,[0.12816429 0.50590366 0.36593202]
06-04-2017,"Gold settles up $4.80, or 0.4%, at $1,253.30 an ounce",negative,[0.9205537  0.04367719 0.03576922]
31-03-2017,"Gold settles higher, books weekly, quarterly advance but ends March in the red",negative,[0.5867587  0.16565187 0.24758938]
03-11-2017,Gold ends at a nearly three-month low as dollar index strengthens,neutral,[0.02189724 0.94703984 0.03106297]
10-01-2017,"Gold pares gains, but still marks 6-week high",negative,[0.76382303 0.19016474 0.04601216]
08-12-2017,"gold rate today: gold, silver trade lower on weak demand",neutral,[0.03141274 0.94613886 0.02244846]
07-02-2017,"April gold settles at $1,236.10/oz, up $4, or 0.3%",negative,[0.9334689  0.04074074 0.02579042]
12-09-2018,"Commodity Outlook: Crude oil trades higher on MCX; gold, silver in the red",negative,[0.9373979  0.03257799 0.03002402]
13-01-2018,sharps pixley: gold on a tear as dollar weakens - silver being left behind,neutral,[0.05909379 0.78891945 0.15198682]
12-02-2018,gold as a strategic asset,positive,[0.11862884 0.01264854 0.8687226 ]
02-06-2017,"August gold climbs $10.10, or 0.8%, to settle at $1,280.20/oz",negative,[0.8430201  0.11131402 0.04566592]
16-09-2017,"gold down on weak global cues, low demand",neutral,[0.01589065 0.96468216 0.01942713]
25-09-2017,"Dec. gold gains $14, or 1.1%, to settle at $1,311.50/oz",negative,[0.87306017 0.08977927 0.03716055]
30-11-2017,"Feb. gold settle at $1,276.70/oz, down $9.50, or 0.7%",neutral,[0.00909024 0.97360533 0.01730435]
12-04-2018,bundesbank pulls all stops to show germans their gold is real,positive,[0.03356497 0.24536134 0.7210737 ]
14-10-2017,"gold rises on firm global cues, festive season buying",negative,[0.8700163  0.05743458 0.07254922]
24-08-2017,Gold eases ahead of Jackson Hole central bankers meet,neutral,[0.33359998 0.42357713 0.24282286]
18-01-2017,"February gold up 50 cents, or less than 0.1%, at $1,212.50/oz.",negative,[0.8793     0.08508532 0.03561477]
18-04-2018,"gold settles at a one-week high, holds gains in electronic trade after fed beige book",negative,[0.72218865 0.1607288  0.11708255]
03-08-2018,"december gold rises 0.2% at $1,222.80/oz.",negative,[0.7748748  0.18890977 0.03621534]
31-10-2018,"december gold finishes off $10.30, or 0.8%, at $1,215/oz.",neutral,[0.05446238 0.92332757 0.02221007]
20-10-2017,"Dec. gold loses $9.50, or 0.7%, to end at $1,280.50/oz for the session",neutral,[0.01222818 0.96944493 0.01832693]
21-06-2018,bearish 'death cross' is forming in gold even as trade turmoil rattles stock market,neutral,[0.09968898 0.7867671  0.11354393]
26-10-2018,royal mint : uk government vetoes royal mint's launch of digital gold after cme exit,neutral,[0.01258068 0.89909786 0.08832154]
23-03-2018,"gold futures log highest finish since feb. 16, up 2.9% on week",negative,[0.9407493  0.03010833 0.02914236]
30-03-2017,Gold prices finish lower as dollar strengthens,neutral,[0.01198861 0.96534324 0.02266812]
24-10-2017,"gold, silver edge higher in morning trade",negative,[0.92740345 0.03777213 0.03482439]
26-09-2017,gold rate today: track gold price per gram,positive,[0.03439745 0.03351028 0.9320923 ]
20-02-2018,Gold Prices Still Under Pressure on Stronger Dollar,neutral,[0.2979835  0.64485025 0.05716626]
23-04-2018,"Gold hits two-week low as US yields approach 3%, lifting dollar",neutral,[0.13168266 0.76754344 0.10077381]
05-05-2017,Gold futures lose about 3.3% for the week,neutral,[0.00920398 0.9720562  0.0187398 ]
12-12-2017,cash for gold makes way for e-payments,positive,[0.11837093 0.01363483 0.86799425]
05-12-2018,palladium price hits record high and gets within $10 of gold,negative,[0.7735656  0.02662804 0.19980633]
10-01-2018,gold inches down on higher u.s. treasury yields,neutral,[0.05520266 0.9272136  0.01758372]
23-10-2017,Gold Star widow Myeshia Johnson says Trump's call 'made me cry even worse',neutral,[0.28127107 0.6272695  0.09145942]
03-10-2018,commerzbank looks for higher gold prices vs. euro,negative,[0.85949135 0.06839918 0.07210943]
01-03-2017,Gold holds early losses after data,neutral,[0.14671074 0.7529527  0.10033665]
19-04-2018,"Gold flat, dollar up on higher US yields",negative,[0.916347   0.04194451 0.04170846]
18-01-2018,gold stays in the green near $1330 as wall street slides,positive,[0.2857721 0.0993569 0.614871 ]
15-09-2017,Gold prices lose about 1.9% for the week,neutral,[0.01294668 0.96927387 0.01777949]
04-10-2018,"Gold futures fall 0.07% on weak global cues, profit-booking",neutral,[0.01174489 0.96795624 0.02029879]
26-06-2017,Gold prices snap 3-session winning streak,negative,[0.45392025 0.2541411  0.29193863]
26-09-2018,Gold inches down as dollar firms; US Fed in focus,neutral,[0.03082112 0.9337246  0.03545422]
21-12-2018,"gold dips on day, but up 1%+ for the week on fed hike worries",negative,[0.5994921  0.35234582 0.04816205]
12-04-2017,"June gold climbs $3.90, or 0.3%, to settle at $1,278.10/oz",negative,[0.818983   0.13266279 0.0483542 ]
04-10-2018,"Gold futures down at Rs 31,340 per 10 gm",neutral,[0.0087541  0.95810807 0.03313776]
15-09-2017,"Gold ends at September low, down nearly 2% for the week",neutral,[0.00904088 0.9751067  0.01585234]
28-08-2017,"Gold tops $1,300, closes at 11-month high",negative,[0.6286597  0.1309683  0.24037196]
31-10-2017,Gold Prices Remain Lower as Dollar Strengthens,neutral,[0.07660823 0.89095974 0.03243195]
17-11-2017,Gold prices end the week nearly 1.8% higher,negative,[0.59109515 0.30730146 0.1016034 ]
09-01-2018,10 reasons why you should add to your gold holdings,positive,[0.09492103 0.02140787 0.88367116]
16-01-2017,Gold rises to 8-week high as traders focus on Trump and Brexit,negative,[0.639419   0.13779832 0.22278266]
04-12-2017,"Gold ends lower as tax-cut progress lifts U.S. dollar, stocks",neutral,[0.09681475 0.87605757 0.02712765]
26-03-2018,cftc : gold speculators continued to shed bullish net positions this week,neutral,[0.00924333 0.97405267 0.01670397]
04-10-2017,"gold trades higher; may witness pullback till rs 29,800",negative,[0.82590103 0.14105187 0.0330471 ]
02-08-2017,gold trades higher in morning trade; silver down,negative,[0.91940945 0.04639358 0.034197  ]
13-01-2017,Gold futures end the week with a gain of about 1.9%,negative,[0.9217709  0.0289322  0.04929684]
10-10-2018,tocqueville gold strategy third quarter 2018 investor letter,positive,[0.04258652 0.04477493 0.9126386 ]
15-05-2018,uae trader looking to expand into gold refining in africa,negative,[0.6983844  0.00793473 0.29368085]
14-06-2018,"august gold climbs $7, or 0.5%, to settle at $1,308.30/oz",negative,[0.86295164 0.095656   0.0413923 ]
28-03-2017,"April gold settles at $1,255.60/oz, down 10 cents for the session",neutral,[0.01074774 0.97309405 0.01615825]
09-04-2018,"june gold settles at $1,340.10/oz, up $4, or 0.3%",negative,[0.9345722  0.03969228 0.02573548]
09-12-2018,gold / silver / copper prices - weekly outlook: december 10 - 14,positive,[0.02036416 0.08269116 0.8969447 ]
23-04-2018,turkey's gold repatriation 'sign of coming end' of us-dominated monetary system,negative,[0.81915313 0.03363888 0.14720802]
26-04-2018,"gold near five-week lows, trapped by stronger dollar",neutral,[0.03139216 0.93668133 0.03192652]
13-12-2018,charts : gold prices struggle to make good on us dollar downturn,neutral,[0.01888452 0.95471716 0.02639827]
19-04-2018,"india : gold price rally, cash crunch dulls akshaya tritiya festival buying",neutral,[0.01779118 0.9342898  0.04791897]
02-06-2017,Gold sees highest close since April after weak jobs report,neutral,[0.09193245 0.8801249  0.02794264]
08-09-2017,"Gold bulls are looking for a 'major breakout' above $1,400 an ounce",negative,[0.7668885  0.04539999 0.18771155]
31-01-2017,Gold futures score best monthly gain since June,negative,[0.75733095 0.18191852 0.06075056]
22-02-2017,gold steady as investors look for rate hike clues from fed,neutral,[0.39363623 0.40949416 0.19686958]
13-08-2018,"gold hits 1.5-yr. low below $1,200; fx turmoil no support",neutral,[0.06686188 0.9124592  0.02067897]
22-08-2017,gold slides as traders look ahead to jackson hole speeches,neutral,[0.06437933 0.80923474 0.12638596]
14-02-2018,ig : is the gold price heading higher?,positive,[0.34113225 0.14923039 0.50963736]
06-10-2017,gold hits 2-month low as dollar gains ahead of us jobs data,neutral,[0.02679857 0.90682006 0.06638142]
01-06-2017,"August gold down $8.50, or 0.7%, at $1,266.90/oz after $1,263.70 low",neutral,[0.01554497 0.9661136  0.01834152]
26-04-2018,gold beats miners,positive,[0.17697738 0.03831942 0.7847032 ]
21-03-2018,Gold Prices Move Higher Ahead of Fed Statement,negative,[0.85443604 0.06576061 0.0798033 ]
04-04-2018,indians holding on to their gold,positive,[0.1193036  0.0852165  0.79547995]
25-05-2017,gold gains slightly in asia with china demand in focus,negative,[0.9241311  0.0494353  0.02643353]
31-05-2017,Gold edges down a few cents from their settlement level after Fed Beige Book,neutral,[0.01389777 0.96429425 0.0218079 ]
04-05-2018,coins : gold & silver eagle sales drop sharply due to central bank intervention,neutral,[0.00988156 0.971943   0.0181755 ]
13-01-2017,"Feb. gold settles at $1,196.20/oz, down $3.60, or 0.3%",neutral,[0.00964196 0.9732072  0.0171509 ]
08-03-2017,Gold futures hold modest loss after strong private-payrolls report,neutral,[0.10342447 0.87265843 0.02391712]
21-02-2018,"Gold extends losses, down Rs 200",neutral,[0.01723479 0.96768266 0.01508255]
17-07-2017,"Gold futures rise to Rs 28,237 on positive global cues",negative,[0.9015441  0.03809631 0.06035963]
18-07-2018,gold etf holdings plunge to lowest level since march,neutral,[0.00730005 0.96528983 0.02741017]
05-04-2018,gold slips as fears ease over us-china trade conflict,neutral,[0.07033432 0.8571993  0.07246639]
11-12-2017,commerzbank : what are the key factors to drive gold in 2018?,positive,[0.04927375 0.02055974 0.9301665 ]
05-01-2018,mitsubishi : gold prices mark highest january opening since 2013,negative,[0.75647104 0.13440044 0.10912858]
21-06-2017,Gold settles higher for first time in three sessions,negative,[0.84215397 0.04998336 0.1078627 ]
05-10-2018,"Gold little changed, US non-farm payroll data in focus",positive,[0.24422587 0.16703148 0.5887427 ]
25-04-2017,Gold prices settle at lowest level in more than 2 weeks,neutral,[0.01176129 0.9234683  0.06477042]
11-08-2017,"Gold marks highest finish since early June, up more than 2% for the week",negative,[0.94475454 0.02170098 0.03354446]
17-10-2017,Options trading to help formalise gold trade: Jaitley,positive,[0.07660785 0.01307646 0.9103157 ]
14-08-2018,Gold stabilises as dollar pulls back from 13-month high,negative,[0.48780444 0.4789858  0.03320977]
25-08-2017,Gold ends at a nearly 3-month high as dollar weakens,neutral,[0.02938284 0.94806916 0.02254796]
05-06-2018,"gold slips on sluggish demand, weak global cues",neutral,[0.01597525 0.965008   0.01901678]
21-06-2017,Gold rebounds after 2-session drop to lowest since mid May,neutral,[0.01473833 0.96154094 0.02372071]
28-04-2017,broader trend in gold to remain positive; dip in prices a good opportunity to buy,negative,[0.9397936  0.03469854 0.0255078 ]
06-06-2017,gold may touch 4-year high on `gentle' fed,negative,[0.8054469  0.04818684 0.1463662 ]
05-04-2018,"metals focus : gold price to reach $1,450 before year end",positive,[0.28956628 0.01232088 0.69811285]
18-07-2017,gold prices mark third-straight session climb,neutral,[0.08061379 0.8355836  0.08380248]
27-04-2018,bundesbank  has brought home $95 billion in gold bullion and put some on show to prove it's real,negative,[0.7166891  0.01239506 0.2709158 ]
29-01-2017,time to come out with comprehensive gold policy: y v reddy,positive,[0.21916889 0.00945118 0.77137995]
18-08-2017,"Gold prices fail to hold above key $1,300 level",neutral,[0.09703942 0.85194504 0.0510155 ]
16-08-2017,Gold ends higher as Trump disbands 2 White House advisory groups,negative,[0.46182385 0.34148628 0.19668986]
12-10-2018,gold futures end the week 1.4% higher,negative,[0.7231617  0.20751566 0.06932259]
04-09-2018,"Gold prices slip as trade, emerging market worries lift dollar",neutral,[0.03900355 0.93004596 0.03095051]
05-07-2017,"August gold gains $2.50, or 0.2%, to settle at $1,221.70/oz",negative,[0.8059965  0.1508384  0.04316517]
16-07-2018,gold gains as dollar slips ahead of trump-putin meeting,neutral,[0.09031349 0.8378294  0.07185709]
24-01-2017,World Bank forecasts 2017 average oil price of $55; gold prices set for 8% fall this year,neutral,[0.02392978 0.92960995 0.04646026]
05-11-2018,Gold futures slide on weak global cues,neutral,[0.02032268 0.9406761  0.0390013 ]
11-12-2017,"gold hangs above 2016 low despite btc (now in bitcon futures), brexit deal,tax bill, and fund pukers",negative,[0.6870213  0.23702691 0.0759517 ]
27-03-2018,sprott gold report : gold resilient despite market volatility,negative,[0.9372828  0.02553805 0.03717904]
25-01-2017,Gold ends at a nearly 2-week low as U.S. stock indexes trade in record territory,neutral,[0.0243274  0.9262234  0.04944922]
14-11-2017,"Dec. gold down 60 cents, or less than 0.1%, to $1,278.40/oz",neutral,[0.01612819 0.9661914  0.01768045]
21-06-2018,"russia buys 600,000 oz of gold in may after dumping half of us treasuries in april",negative,[0.76589686 0.0776374  0.15646578]
10-04-2017,highland gold mining swings to 2016 profit,neutral,[0.03584913 0.90591276 0.05823818]
04-05-2017,India's gold demand rises 15% to 123.5 tonnes in Q1: WGC,negative,[0.9428782  0.02000726 0.03711448]
19-01-2017,"February gold slumped $9, or 0.7%, at $1,203/oz.",neutral,[0.00920919 0.9743123  0.0164785 ]
27-06-2017,Gold prices pare much of their gains by the session's settlement,negative,[0.78400636 0.15625185 0.05974177]
16-02-2017,Gold futures finish at a more than 3-month high,negative,[0.61839896 0.21810845 0.16349262]
23-06-2018,gold edges up from six-month lows as the dollar slips,negative,[0.91175497 0.05882972 0.02941531]
04-07-2017,gold prices up in asia ahead of u.s. holiday,negative,[0.87363625 0.08782853 0.03853524]
08-03-2018,gold ends lower for second day,neutral,[0.02725109 0.9294743  0.04327458]
14-08-2018,india's july gold imports surge as jewellers replenish inventory,negative,[0.7437061  0.21950805 0.03678576]
22-08-2017,tale of two assets: why gold's rally against oil is just beginning,positive,[0.07015157 0.0457887  0.8840598 ]
21-09-2018,"Gold futures rise to Rs 30,952 on firm global cues",negative,[0.86938554 0.05186718 0.07874723]
13-01-2017,"Gold hits 6-week high of Rs 29,450 on global cues",negative,[0.86222005 0.03748724 0.10029278]
21-11-2017,Gold regains some lost ground as dollar struggles,neutral,[0.3733237  0.41386908 0.21280722]
09-10-2017,Gold hits 1-week high amid renewed North Korea fears,negative,[0.725548   0.16000707 0.11444492]
05-07-2018,Gold prices,positive,[0.06232652 0.04781939 0.8898541 ]
21-11-2018,"Sliding Re, low demand likely behind slump in gold prices",neutral,[0.0133062 0.9611393 0.0255545]
07-12-2017,more strange and disturbing action in the paper gold market,neutral,[0.02230859 0.7178625  0.25982895]
13-12-2017,vietnam : new sbv decree to ease gold trading regulations,negative,[0.83373576 0.01978643 0.14647782]
31-08-2018,gold prices gain as trump considers imposing tariffs on $200b in chinese goods,neutral,[0.15637922 0.8056545  0.03796624]
21-01-2018,sprott sees renewed interest in gold as stocks keep rallying,negative,[0.9383222  0.01369174 0.04798605]
27-07-2018,"Gold falls to Rs 29,913 at futures trade",neutral,[0.01226729 0.9584987  0.02923398]
31-01-2018,frank holmes : 2018 good for gold says wgc,positive,[0.26037017 0.0153243  0.7243055 ]
02-05-2018,us mint : april lackluster for gold and silver eagles,neutral,[0.01529946 0.9550207  0.02967973]
19-05-2017,Gold futures end the week about 2.1% higher,negative,[0.42516357 0.40829504 0.16654144]
19-04-2018,"Buy gold if it dips to $1,335/oz",positive,[0.0272716  0.18314405 0.78958434]
07-04-2017,"Gold ends day, week higher, but pares firmer gain on dollar strength",negative,[0.8255568  0.12596922 0.04847408]
10-11-2017,"Gold ends sharply lower, but registers weekly gain",neutral,[0.09998929 0.8648258  0.03518483]
29-01-2018,"Gold Prices Struggle to Find Footing as Dollar, Bond Yields Advance",neutral,[0.03258066 0.9060305  0.06138885]
30-01-2019,Gold rises for 4th day in a row,negative,[0.790115   0.07461599 0.13526903]
10-02-2017,Gold slips to 3-week low on weak global cues,neutral,[0.02666175 0.9399562  0.03338207]
20-09-2017,Gold prices slide in electronic trading after Fed keeps rates unchanged,neutral,[0.02694535 0.9214486  0.05160608]
02-01-2019,"Gold hits over 6-month high on falling dollar, equities",negative,[0.8268363  0.09837172 0.07479203]
04-12-2017,"venezuela announces 'the petro' currency backed by gold, oil and diamonds",positive,[0.17310148 0.01117476 0.8157238 ]
31-01-2017,Gold futures climb more than 5% for the month,negative,[0.9266238  0.03747131 0.03590482]
07-07-2017,Gold prices settle roughly 2.6% lower for the week,neutral,[0.01293739 0.9684456  0.01861696]
16-04-2018,$1360 : gold's brick wall,positive,[0.05157876 0.04970803 0.89871323]
16-03-2017,Gold holds sharp gains after U.S. data,negative,[0.81648016 0.09707984 0.08644   ]
14-11-2017,bitcoin : internet shutdowns show physical gold is ultimate protection,positive,[0.04800799 0.09297563 0.8590164 ]
10-01-2017,"gold pares some gains by the finish, but ends at a 6-week high",neutral,[0.44799227 0.4517305  0.10027717]
06-01-2017,"Feb. gold settles at $1,173.40/oz, down $7.90, or 0.7%, for the session",neutral,[0.00921204 0.9752652  0.0155228 ]
04-04-2017,should you invest in gold right now?,positive,[0.04363257 0.02788285 0.92848456]
19-07-2017,"August gold down 0.1% at $1,240.60/oz.",neutral,[0.01107567 0.9678696  0.02105475]
25-09-2018,etfs : top 6 low cost gold etfs,positive,[0.12201019 0.01099842 0.8669914 ]
16-03-2018,Gold Prices Litttle Changed Despite Dollar Weakness,negative,[0.63822037 0.20455316 0.15722646]
03-01-2017,"Feb. gold falls $1.20, or 0.1%, to $1,150.50/oz",neutral,[0.03958147 0.9344608  0.02595767]
30-08-2017,gold dips in asia as investors note un security council rap of nkorea,neutral,[0.0698096  0.8305297  0.09966071]
11-08-2017,Gold up for fourth straight session on North Korea tensions,positive,[0.38153863 0.143157   0.47530437]
27-07-2017,gold rises to six-week high as dollar drops after fed statement,negative,[0.4512453  0.42924967 0.11950499]
13-03-2018,gold prices slip as investors await u.s. cpi data,neutral,[0.02762645 0.8729408  0.09943277]
